Sexual,Violence,Substance,Language
seductive,combat,cocaine,foul
nudity,knife,weed,obscene
dick,assault,booze,expletive
sex,attack,drugs,abusive
breast,kill,alcohol,vulgar
nude,gun,heroin,fuck
flirt,mutilation,pills,defamatory
sexual act,battle,smoke,mocking
vagina,punch,marijuana,racial
provocative,weapons,drunk,slander
erotic,murder,ecstasy,slur
attraction,gore,intoxicated,nigga
sensual,atrocity,opioids,violence
masturbation,devilry,meth,shit
handjob,violence,cigar,virgin
masturbate,violent,vodka,fuck
underwear,stab,beer,asshole
panties,,,bastard
bra,,,wretch
brassiere,,,contemptible
dink,,,damn
orgasm,,,motherfucker
ejaculate,,,
one night stand,,,
make love,,,
blow job,,,
ass,,,
cumshot,,,
sex,,,
virgin,,,
