Sexual,Violence,Substance,Language
one night stand,gore,heroin,asshole
cumshot,atrocity,intoxicated,slander
ejaculate,punch,beer,defamatory
sexual act,gun,vodka,slur
blow job,knife,alcohol,nigga
ass,murder,opioids,vulgar
dick,assault,ecstasy,motherfucker
dink,stab,cigar,mocking
erotic,attack,marijuana,abusive
sensual,mutilation,booze,bastard
masturbate,devilry,weed,expletive
panties,kill,drugs,fuck
handjob,smash,meth,shit
breast,maiming,cocaine,virgin
masturbation,bloodshed,pills,obscene
provocative,slay,liquor,contemptible
sex,homicide,cheroot,damn
vagina,ferocity,squiffy,bitch
nudity,,lager,fuckin
nude,,ganja,niggas
virgin,,inebriant,simpleton
seductive,,mephedrine,lewd
brassiere,,blotto,asses
make love,,opiates,salacious
bra,,cannabis,turd
orgasm,,soused,misbegot
fleshly,,scag,cunt
tease,,whiskey,arse
sexuality,,wine,arsehole
footjob,,,fucker
virginal,,,scurrilous
suckjob,,,shitty
tit,,,
genitalia,,,
jack off,,,
onanism,,,
carnal,,,
sexy,,,
wank,,,
scanty,,,
nudeness,,,
sex act,,,
underclothes,,,
nakedness,,,
titillating,,,
self-abuse,,,
unclothed,,,
cum shot,,,
climax,,,
jerk off,,,
underclothing,,,
sexual relationship,,,
vaginal,,,
arsehole,,,
asshole,,,
carnal,,,
lewd,,,
fleshly,,,
